"","ID","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition_num"
"93",93,"29 to 39","Yes","Travel_Rarely","Very High (1151-1500)","Research & Development","<=2 miles",2,"Other",4,"very high","Male","Very High (81-110)","medium",1,"Laboratory Technician","high","Single","Low(1000-4000)",2396,6,"Yes",15,"high","medium",0,7,3,"high","Low(0-5 Years)",0,0,0,1
"94",94,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development","10-15 miles",4,"Medical",1587,"low","Female","Medium (41-60)","high",2,"Healthcare Representative","high","Single","low-Medium (4001-7000)",4223,3,"Yes",16,"high","high",0,10,4,"high","Low(0-5 Years)",2,0,4,0
"95",95,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Research & Development","10-15 miles",3,"Life Sciences",226,"high","Female","Medium (41-60)","high",5,"Manager","medium","Single","Very High (16001-19999)",17053,3,"No",15,"high","medium",0,21,5,"high","Low(0-5 Years)",4,4,4,0
"96",96,"40 to 50","No","Travel_Rarely","Medium (451-800)","Sales","<=2 miles",1,"Life Sciences",387,"medium","Male","Very High (81-110)","high",2,"Sales Executive","high","Married","low-Medium (4001-7000)",24532,1,"No",25,"very high","high",0,20,3,"high","Medium-High (16-20 Years)",16,11,6,0
"97",97,"40 to 50","No","Travel_Rarely","Low(100-450)","Sales","3-5 miles",3,"Life Sciences",1527,"high","Female","Medium (41-60)","high",4,"Manager","medium","Married","Very High (16001-19999)",11380,8,"No",12,"high","very high",1,23,2,"very high","Medium (11-15 Years)",12,5,1,0
"98",98,"29 to 39","No","Non-Travel","High (801-1150)","Research & Development","<=2 miles",2,"Life Sciences",139,"high","Male","Very High (81-110)","medium",2,"Healthcare Representative","very high","Divorced","low-Medium (4001-7000)",15850,5,"No",14,"high","very high",1,17,2,"very high","Low(0-5 Years)",0,0,0,0
"99",99,"29 to 39","No","Travel_Frequently","Low(100-450)","Research & Development","<=2 miles",1,"Life Sciences",1513,"very high","Female","Very High (81-110)","high",1,"Laboratory Technician","medium","Married","Low(1000-4000)",4668,0,"No",13,"high","high",3,4,3,"high","Low(0-5 Years)",2,0,2,0
"100",100,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",3,"Life Sciences",1447,"very high","Female","Very High (81-110)","medium",1,"Laboratory Technician","medium","Married","Low(1000-4000)",3708,5,"No",17,"high","low",1,7,2,"medium","Low(0-5 Years)",4,0,2,0
"101",101,"18 to 28","No","Travel_Rarely","Very High (1151-1500)","Research & Development","10-15 miles",1,"Life Sciences",1434,"medium","Male","Very High (81-110)","high",1,"Laboratory Technician","low","Married","Low(1000-4000)",7679,0,"No",14,"high","medium",0,6,3,"very high","Low(0-5 Years)",0,1,4,0
"102",102,"29 to 39","No","Travel_Rarely","Low(100-450)","Sales","6-9 miles",2,"Life Sciences",1453,"low","Male","Low(0-40)","high",3,"Sales Executive","very high","Divorced","Medium-High (10001-13000)",8386,1,"No",18,"high","low",1,13,5,"high","Medium (11-15 Years)",7,9,9,0
"103",103,"29 to 39","No","Non-Travel","Very High (1151-1500)","Sales","3-5 miles",4,"Marketing",523,"high","Female","High (61-80)","high",2,"Sales Executive","high","Married","low-Medium (4001-7000)",12740,9,"No",15,"high","low",1,6,3,"high","Low(0-5 Years)",2,1,2,0
"104",104,"18 to 28","No","Travel_Rarely","High (801-1150)","Research & Development","3-5 miles",3,"Medical",705,"low","Male","Medium (41-60)","very high",1,"Research Scientist","low","Married","Low(1000-4000)",8544,2,"No",16,"high","low",1,5,3,"very high","Low(0-5 Years)",2,0,2,0
"105",105,"51 to 60","No","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",3,"Medical",1472,"very high","Male","Low(0-40)","very high",4,"Research Director","medium","Single","Very High (16001-19999)",19764,4,"No",12,"high","medium",0,35,2,"medium","low-Medium (6-10 Years)",8,8,8,0
"106",106,"18 to 28","No","Travel_Rarely","Very High (1151-1500)","Research & Development","3-5 miles",4,"Medical",1177,"low","Male","Very High (81-110)","very high",1,"Laboratory Technician","very high","Married","low-Medium (4001-7000)",13421,1,"No",22,"very high","medium",1,8,2,"high","low-Medium (6-10 Years)",7,0,7,0
"107",107,"29 to 39","No","Non-Travel","Very High (1151-1500)","Research & Development","<=2 miles",1,"Technical Degree",208,"very high","Male","Medium (41-60)","high",2,"Manufacturing Director","high","Married","low-Medium (4001-7000)",26283,1,"No",13,"high","low",1,10,1,"high","low-Medium (6-10 Years)",7,0,9,0
"108",108,"51 to 60","No","Travel_Rarely","Low(100-450)","Human Resources",">=16",4,"Human Resources",1973,"high","Male","High (61-80)","very high",5,"Manager","medium","Married","Very High (16001-19999)",25811,4,"Yes",18,"high","low",1,35,0,"high","low-Medium (6-10 Years)",9,1,4,0
"109",109,"40 to 50","Yes","Travel_Rarely","Low(100-450)","Research & Development",">=16",2,"Medical",1821,"very high","Female","High (61-80)","high",2,"Healthcare Representative","medium","Married","Medium (7001-10000)",10842,4,"No",22,"very high","very high",1,13,2,"very high","low-Medium (6-10 Years)",7,3,7,1
"110",110,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development","<=2 miles",3,"Technical Degree",2038,"very high","Male","High (61-80)","high",1,"Research Scientist","low","Single","Low(1000-4000)",11288,1,"No",14,"high","very high",0,4,4,"high","Low(0-5 Years)",2,1,2,0
"111",111,"18 to 28","No","Travel_Frequently","Medium (451-800)","Research & Development","6-9 miles",3,"Life Sciences",1154,"high","Male","Low(0-40)","medium",1,"Research Scientist","high","Divorced","Low(1000-4000)",22088,1,"Yes",14,"high","very high",1,3,2,"high","Low(0-5 Years)",1,0,2,0
"112",112,"51 to 60","No","Travel_Rarely","High (801-1150)","Research & Development","<=2 miles",2,"Life Sciences",976,"very high","Male","High (61-80)","high",4,"Manager","very high","Married","Very High (16001-19999)",13829,2,"No",15,"high","medium",1,26,2,"medium","low-Medium (6-10 Years)",8,7,8,0
"113",113,"51 to 60","No","Travel_Rarely","High (801-1150)","Research & Development","6-9 miles",4,"Life Sciences",1118,"medium","Male","Very High (81-110)","high",3,"Healthcare Representative","medium","Single","Medium-High (10001-13000)",15322,7,"No",19,"high","very high",0,18,4,"high","low-Medium (6-10 Years)",6,4,0,0
"114",114,"29 to 39","No","Non-Travel","Very High (1151-1500)","Research & Development","<=2 miles",4,"Life Sciences",771,"very high","Female","High (61-80)","high",2,"Healthcare Representative","low","Divorced","low-Medium (4001-7000)",4761,2,"No",11,"high","low",1,16,2,"very high","Low(0-5 Years)",0,0,0,0
"115",115,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Sales",">=16",4,"Life Sciences",1218,"high","Male","Very High (81-110)","high",2,"Sales Executive","low","Married","Medium (7001-10000)",21026,3,"Yes",15,"high","very high",3,15,2,"high","low-Medium (6-10 Years)",7,1,7,0
"116",116,"29 to 39","No","Non-Travel","Very High (1151-1500)","Sales",">=16",2,"Medical",904,"low","Male","Low(0-40)","high",3,"Sales Executive","medium","Single","Medium (7001-10000)",4814,1,"Yes",13,"high","very high",0,10,2,"high","low-Medium (6-10 Years)",0,0,9,0
"117",117,"18 to 28","No","Travel_Rarely","Very High (1151-1500)","Sales","10-15 miles",4,"Life Sciences",1240,"high","Male","Medium (41-60)","high",2,"Sales Executive","very high","Single","low-Medium (4001-7000)",20623,0,"No",14,"high","medium",0,5,4,"high","Low(0-5 Years)",3,1,1,0
"118",118,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development","10-15 miles",2,"Other",2053,"very high","Male","Medium (41-60)","medium",2,"Laboratory Technician","medium","Married","low-Medium (4001-7000)",23679,4,"Yes",13,"high","low",1,10,2,"high","Low(0-5 Years)",3,0,3,0
"119",119,"40 to 50","No","Travel_Rarely","Medium (451-800)","Research & Development","10-15 miles",3,"Life Sciences",227,"low","Male","Medium (41-60)","high",1,"Research Scientist","high","Divorced","Low(1000-4000)",4609,4,"No",12,"high","low",1,13,2,"high","low-Medium (6-10 Years)",8,1,8,0
"120",120,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",4,"Technical Degree",1383,"high","Female","Very High (81-110)","high",2,"Healthcare Representative","very high","Single","low-Medium (4001-7000)",6163,1,"No",11,"high","very high",0,14,2,"very high","Medium (11-15 Years)",11,4,11,0
"121",121,"29 to 39","No","Non-Travel","Low(100-450)","Research & Development","6-9 miles",3,"Life Sciences",742,"low","Female","High (61-80)","very high",3,"Research Director","low","Married","Medium-High (10001-13000)",20335,9,"No",14,"high","low",1,10,2,"high","low-Medium (6-10 Years)",7,0,5,0
"122",122,"18 to 28","No","Travel_Rarely","Medium (451-800)","Sales","3-5 miles",1,"Medical",2021,"high","Male","Medium (41-60)","high",1,"Sales Representative","low","Single","Low(1000-4000)",25479,1,"Yes",11,"high","very high",0,2,6,"high","Low(0-5 Years)",2,1,2,0
"123",123,"40 to 50","No","Travel_Rarely","High (801-1150)","Sales","6-9 miles",3,"Marketing",864,"very high","Male","High (61-80)","high",3,"Sales Executive","low","Divorced","Medium-High (10001-13000)",19239,4,"Yes",12,"high","high",1,18,2,"high","Low(0-5 Years)",4,0,2,0
"124",124,"29 to 39","No","Travel_Rarely","Low(100-450)","Sales","6-9 miles",4,"Marketing",709,"very high","Female","Medium (41-60)","medium",2,"Sales Executive","very high","Single","low-Medium (4001-7000)",7791,0,"No",20,"very high","low",0,8,2,"high","low-Medium (6-10 Years)",7,0,5,0
"125",125,"29 to 39","No","Travel_Frequently","Low(100-450)","Sales","<=2 miles",2,"Life Sciences",388,"medium","Male","Medium (41-60)","high",2,"Sales Executive","very high","Single","low-Medium (4001-7000)",20260,1,"No",18,"high","low",0,10,3,"medium","low-Medium (6-10 Years)",7,0,9,0
"126",126,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Sales","6-9 miles",4,"Life Sciences",1962,"high","Female","Medium (41-60)","high",2,"Sales Executive","very high","Married","low-Medium (4001-7000)",13586,1,"Yes",11,"high","very high",0,10,2,"high","low-Medium (6-10 Years)",8,0,9,0
"127",127,"29 to 39","Yes","Travel_Frequently","High (801-1150)","Research & Development",">=16",1,"Life Sciences",33,"medium","Female","High (61-80)","low",1,"Research Scientist","low","Single","Low(1000-4000)",4681,1,"Yes",22,"very high","medium",0,10,5,"high","low-Medium (6-10 Years)",2,6,7,1
"128",128,"40 to 50","No","Travel_Rarely","Medium (451-800)","Research & Development",">=16",2,"Life Sciences",1888,"medium","Female","Very High (81-110)","medium",2,"Manufacturing Director","very high","Married","low-Medium (4001-7000)",23888,0,"No",13,"high","very high",2,10,2,"medium","low-Medium (6-10 Years)",8,3,8,0
"129",129,"40 to 50","No","Travel_Rarely","High (801-1150)","Research & Development","6-9 miles",3,"Medical",1402,"low","Female","High (61-80)","medium",2,"Research Scientist","high","Single","low-Medium (4001-7000)",20003,1,"Yes",14,"high","low",0,20,3,"low","Medium-High (16-20 Years)",7,1,8,0
"130",130,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Sales","3-5 miles",3,"Technical Degree",1863,"low","Female","Medium (41-60)","very high",4,"Sales Executive","low","Divorced","High (13001-16000)",7739,2,"No",12,"high","very high",1,25,5,"high","Medium-High (16-20 Years)",17,2,8,0
"131",131,"29 to 39","No","Travel_Rarely","High (801-1150)","Sales","3-5 miles",3,"Medical",1669,"low","Male","Medium (41-60)","medium",2,"Sales Executive","medium","Divorced","low-Medium (4001-7000)",3356,1,"Yes",13,"high","medium",1,10,3,"medium","low-Medium (6-10 Years)",0,0,9,0
"132",132,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Sales","10-15 miles",4,"Marketing",1757,"very high","Female","High (61-80)","high",2,"Sales Executive","very high","Single","low-Medium (4001-7000)",8191,3,"No",12,"high","high",0,8,1,"very high","Low(0-5 Years)",1,0,4,0
"133",133,"40 to 50","No","Travel_Frequently","Very High (1151-1500)","Research & Development",">=16",4,"Technical Degree",551,"very high","Female","Very High (81-110)","medium",2,"Healthcare Representative","very high","Married","low-Medium (4001-7000)",4386,0,"No",11,"high","very high",3,7,4,"very high","low-Medium (6-10 Years)",5,0,4,0
"134",134,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development","10-15 miles",3,"Medical",1654,"very high","Male","High (61-80)","high",2,"Manufacturing Director","medium","Married","low-Medium (4001-7000)",7693,4,"No",21,"very high","high",0,7,3,"high","Low(0-5 Years)",4,1,0,0
"135",135,"40 to 50","No","Travel_Frequently","Medium (451-800)","Research & Development","10-15 miles",4,"Life Sciences",448,"high","Female","Very High (81-110)","medium",2,"Laboratory Technician","high","Divorced","low-Medium (4001-7000)",6227,1,"No",11,"high","medium",1,9,3,"very high","low-Medium (6-10 Years)",7,0,0,0
"136",136,"40 to 50","No","Travel_Frequently","Medium (451-800)","Research & Development","<=2 miles",2,"Medical",807,"high","Female","Low(0-40)","very high",2,"Healthcare Representative","medium","Married","low-Medium (4001-7000)",9931,1,"No",24,"very high","very high",1,8,2,"high","low-Medium (6-10 Years)",7,3,7,0
"137",137,"29 to 39","Yes","Travel_Rarely","High (801-1150)","Research & Development","<=2 miles",2,"Life Sciences",816,"medium","Female","Low(0-40)","medium",1,"Laboratory Technician","low","Married","Low(1000-4000)",6689,1,"Yes",11,"high","very high",1,1,1,"high","Low(0-5 Years)",0,0,0,1
"138",138,"51 to 60","No","Travel_Rarely","Very High (1151-1500)","Research & Development",">=16",3,"Technical Degree",1013,"high","Female","Medium (41-60)","high",3,"Manufacturing Director","high","Married","Medium-High (10001-13000)",13943,8,"No",11,"high","high",1,22,2,"high","low-Medium (6-10 Years)",7,0,8,0
"139",139,"29 to 39","Yes","Travel_Rarely","High (801-1150)","Research & Development","6-9 miles",3,"Medical",932,"very high","Male","High (61-80)","high",1,"Laboratory Technician","low","Married","Low(1000-4000)",4303,7,"Yes",21,"very high","very high",0,8,2,"low","Low(0-5 Years)",2,2,2,1
"140",140,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Sales","3-5 miles",3,"Life Sciences",152,"high","Male","Very High (81-110)","high",3,"Sales Executive","very high","Single","Medium (7001-10000)",14506,2,"No",12,"high","low",0,12,3,"high","Low(0-5 Years)",3,1,3,0
"141",141,"51 to 60","No","Travel_Rarely","Very High (1151-1500)","Research & Development",">=16",3,"Life Sciences",1373,"very high","Male","High (61-80)","high",4,"Manufacturing Director","medium","Married","High (13001-16000)",18235,4,"Yes",12,"high","low",1,33,0,"high","Medium-High (16-20 Years)",16,15,9,0
"142",142,"51 to 60","No","Travel_Rarely","High (801-1150)","Research & Development",">=16",4,"Life Sciences",1308,"low","Male","Very High (81-110)","high",1,"Research Scientist","high","Divorced","Low(1000-4000)",26076,1,"No",12,"high","very high",2,2,3,"high","Low(0-5 Years)",2,2,2,0
"143",143,"40 to 50","No","Travel_Rarely","Medium (451-800)","Research & Development","6-9 miles",2,"Medical",1007,"very high","Male","High (61-80)","high",3,"Manufacturing Director","high","Divorced","Medium-High (10001-13000)",24208,6,"No",13,"high","medium",1,13,3,"high","low-Medium (6-10 Years)",7,0,7,0
"144",144,"29 to 39","No","Travel_Rarely","Low(100-450)","Sales","6-9 miles",4,"Medical",378,"high","Male","Very High (81-110)","high",2,"Sales Executive","very high","Married","low-Medium (4001-7000)",22825,4,"No",14,"high","medium",1,7,5,"very high","Low(0-5 Years)",4,0,1,0
"145",145,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Research & Development","<=2 miles",1,"Medical",1375,"medium","Female","Very High (81-110)","very high",2,"Healthcare Representative","high","Divorced","low-Medium (4001-7000)",13888,5,"No",20,"very high","medium",3,15,0,"high","Medium (11-15 Years)",11,11,8,0
"146",146,"29 to 39","No","Non-Travel","Medium (451-800)","Sales","<=2 miles",3,"Life Sciences",469,"very high","Male","High (61-80)","high",2,"Sales Executive","high","Married","low-Medium (4001-7000)",16928,1,"No",14,"high","low",1,4,3,"medium","Low(0-5 Years)",3,0,2,0
"147",147,"29 to 39","No","Travel_Rarely","High (801-1150)","Research & Development","10-15 miles",3,"Medical",252,"very high","Female","High (61-80)","high",1,"Research Scientist","medium","Married","Low(1000-4000)",4673,1,"No",13,"high","very high",1,8,5,"high","low-Medium (6-10 Years)",7,1,6,0
"148",148,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Sales","6-9 miles",4,"Life Sciences",1560,"low","Male","Medium (41-60)","high",2,"Sales Executive","low","Married","low-Medium (4001-7000)",10589,2,"No",13,"high","very high",1,8,6,"low","Low(0-5 Years)",2,2,2,0
"149",149,"18 to 28","No","Travel_Rarely","Medium (451-800)","Research & Development",">=16",3,"Medical",1173,"very high","Male","Medium (41-60)","high",1,"Laboratory Technician","medium","Single","Low(1000-4000)",6409,8,"No",22,"very high","very high",0,6,2,"high","Low(0-5 Years)",3,1,2,0
"150",150,"18 to 28","No","Travel_Rarely","Medium (451-800)","Research & Development",">=16",3,"Medical",1622,"medium","Female","Low(0-40)","low",2,"Manufacturing Director","low","Divorced","low-Medium (4001-7000)",20460,0,"No",21,"very high","medium",1,6,5,"medium","Low(0-5 Years)",3,0,0,0
"151",151,"29 to 39","Yes","Travel_Rarely","Very High (1151-1500)","Sales","10-15 miles",4,"Medical",650,"medium","Male","Medium (41-60)","high",2,"Sales Executive","low","Divorced","low-Medium (4001-7000)",11512,2,"No",17,"high","high",0,9,2,"low","Low(0-5 Years)",1,1,2,1
"152",152,"29 to 39","No","Travel_Rarely","High (801-1150)","Sales","10-15 miles",3,"Marketing",722,"very high","Male","Medium (41-60)","high",2,"Sales Executive","very high","Single","low-Medium (4001-7000)",21703,1,"No",12,"high","very high",0,10,2,"medium","low-Medium (6-10 Years)",7,0,8,0
